date,close,mayer,price_to_wma200,fng,mvrv_z,nupl,sopr,puell
2017-01-22,931.22,1.3301694872643863,,,,,,
2017-01-23,910.7,1.2983664491388431,,,,,,
2017-01-24,887.0,1.262600741162293,,,,,,
2017-01-25,896.0,1.2732514942409172,,,,,,
2017-01-26,917.02,1.3006766136708057,,,,,,
2017-01-27,922.63,1.3061173526544456,,,,,,
2017-01-28,924.98,1.3070533159988411,,,,,,
2017-01-29,916.54,1.2927413800021987,,,,,,
2017-01-30,923.23,1.2997795923073625,,,,,,
2017-01-31,970.01,1.3627372472991388,,,,,,
2017-02-01,992.75,1.391493339719275,,,,,,
2017-02-02,1008.38,1.4101559110429047,,,,,,
2017-02-03,1018.0,1.4202077283993624,,,,,,
2017-02-04,1035.54,1.4410433223789976,,,,,,
2017-02-05,1016.32,1.4108670720197858,,,,,,
2017-02-06,1022.58,1.4160650361289902,,,,,,
2017-02-07,1053.96,1.4554959694074623,,,,,,
2017-02-08,1056.7,1.455268500274679,,,,,,
2017-02-09,994.24,1.366114925187538,,,,,,
2017-02-10,1001.99,1.3735156938071231,,,,,,
2017-02-11,1018.65,1.3928724012517189,,,,,,
2017-02-12,1010.0,1.377722929551843,,,,,,
2017-02-13,1002.82,1.3647136825740371,,,,,,
2017-02-14,1013.92,1.3764764689479605,,,,,,
2017-02-15,1014.53,1.3739596237100635,,,,,,
2017-02-16,1038.94,1.4031035228102913,,,,,,
2017-02-17,1057.3,1.423553091845429,,,,,,
2017-02-18,1062.15,1.4250496533506174,,,,,,
2017-02-19,1059.88,1.4173781272857393,,,,,,
2017-02-20,1089.82,1.4525381732435199,,,,,,
2017-02-21,1128.29,1.4983670270809366,,,,,,
2017-02-22,1128.71,1.4935990973114794,,,,,,
2017-02-23,1186.9,1.5644753247482497,,,,,,
2017-02-24,1186.91,1.558373079564917,,,,,,
2017-02-25,1158.0,1.5147317472862367,,,,,,
2017-02-26,1184.91,1.5439740597868257,,,,,,
2017-02-27,1195.81,1.552030182698175,,,,,,
2017-02-28,1195.08,1.5449934348638494,,,,,,
2017-03-01,1230.0,1.583550438527602,,,,,,
